duplicate_id,name,duplicate,original_id,postal_code,town,
844 391,Paroisse  Saint Martin,,,69600,Oullins,
845 407,paroisse du Bienheureux Antoine chevrier,,,69007,Lyon 7ème,
845 467,Paroisse du Saint Nom de Jésus,,,69006,Lyon 6ème,
837 431,Paroisse Saint Sacrement,,,69003,Lyon 3ème,
844 313,"Paroisse Sainte Famille, Villeurbanne",,,69100,Villeurbanne,
841 747,Pastorale du Tourisme,,,69005,Lyon 5ème,
843 570,Patadôme Théâtre,OUI,14584,69540,Irigny,
837 367,Patrimoine et Actualité Cailloux-sur-Fontaines,,,69270,Cailloux-sur-Fontaines,
849 636,Péniches du Val du Rhône,,,69120,Vaulx-en-Velin,
843 577,Petit Perron,,,69310,Pierre-Bénite,
843 802,Pôle des Sépultures de Guerre et des Hauts Lieux de la Mémoire Nationale,,,69100,Villeurbanne,
834 349,Printemps Lyon,OUI,164405,69002,Lyon 2ème,
849 487,Radio Lyon 1ère,,,69007,Lyon 7ème,
846 070,Régie de Quartiers Eurequa,,,69008,Lyon 8ème,
843 114,Roch'nature,,,69410,Champagne-au-Mont-d'Or,
844 381,RTE Réseau de Transport d'Electricité - Centre de Formation,,,69330,Jonage,
837 150,sanctuaire Saint-Bonaventure,,,69002,Lyon 2ème,
845 185,Segapal,,,69120,Vaulx-en-Velin,
844 458,SLHADA - Société Lyonnaise d'Histoire de l'Aviation et de Documentation Aéronautique,OUI,63545,69500,Bron,
835 577,Société Algoé,,,69130,Écully,
843 416,Société d'enseignement professionnel du Rhône (SEPR),OUI,814851,69003,Lyon 3ème,
835 373,Société lyonnaise d'histoire de la police,,,69003,Lyon 3ème,
841 386,Station d'épuration de la Feyssine,,,69100,Villeurbanne,
844 212,Tassinari & Chatel,OUI,73562,69004,Lyon 4ème,
842 426,Temple du Change,,,69005,Lyon 5ème,
843 825,Théâtre des Aphodèles,OUI,101337,69003,Lyon 3ème,
836 676,Trésor Cathédrale Lyon,,,69005,Lyon 5ème,
836 985,Tuba,,,69003,Lyon 3ème,
857 444,Université de Lyon,OUI,211540,69007,Lyon 7ème,
845 474,Université Jean Moulin Lyon 3,,,69008,Lyon 8ème,
843 949,Ville de Givors - Direction des affaires culturelles,OUI,203565,69700,Chassagny,
846 541,Ville de Lyon -  Mairie du 7e arrondissement,OUI,71629,69007,Lyon 7ème,
843 283,Ville de Vaulx-en-Velin,OUI,77946,69120,Vaulx-en-Velin,
842 018,Ville d'Oullins,OUI,120528,69600,Oullins,
837 986,Viniciacum,,,69200,Vénissieux,
846 442,Vitrail Saint-Georges,OUI,4708262,69290,Saint-Genis-les-Ollières,
